Team,Player,Rank
Storm Vipers,Taylor Wolf,Diamond
Storm Vipers,Alex Shadow,Silver
Storm Vipers,Taylor Vega,Silver
Storm Vipers,Morgan Frost,Gold
Storm Vipers,Morgan Shadow,Diamond
Iron Wolves,Taylor Wolf,Bronze
Iron Wolves,Casey Shadow,Platinum
Iron Wolves,Riley Wolf,Silver
Iron Wolves,Skyler Reign,Diamond
Iron Wolves,Peyton Wolf,Gold
Crimson Knights,Alex Blaze,Silver
Crimson Knights,Taylor Stone,Platinum
Crimson Knights,Riley Wolf,Diamond
Crimson Knights,Alex Storm,Silver
Crimson Knights,Casey Reign,Bronze
Shadow Hawks,Casey Shadow,Platinum
Shadow Hawks,Alex Knight,Gold
Shadow Hawks,Taylor Frost,Bronze
Shadow Hawks,Dakota Shadow,Silver
Shadow Hawks,Peyton Shadow,Bronze
Phantom Fury,Casey Vega,Gold
Phantom Fury,Jamie Frost,Silver
Phantom Fury,Riley Storm,Diamond
Phantom Fury,Peyton Storm,Platinum
Phantom Fury,Jamie Blaze,Iron
Blazing Phoenix,Morgan Shadow,Iron
Blazing Phoenix,Alex Stone,Silver
Blazing Phoenix,Alex Reign,Gold
Blazing Phoenix,Jamie Stone,Iron
Blazing Phoenix,Jamie Ryder,Silver
Night Stalkers,Alex Ryder,Iron
Night Stalkers,Riley Blaze,Bronze
Night Stalkers,Taylor Blaze,Silver
Night Stalkers,Skyler Ryder,Gold
Night Stalkers,Peyton Shadow,Silver
Rogue Titans,Riley Stone,Bronze
Rogue Titans,Skyler Blaze,Gold
Rogue Titans,Casey Reign,Iron
Rogue Titans,Jamie Vega,Diamond
Rogue Titans,Dakota Storm,Platinum
Silent Force,Casey Vega,Diamond
Silent Force,Skyler Stone,Iron
Silent Force,Casey Ryder,Platinum
Silent Force,Casey Knight,Bronze
Silent Force,Jamie Stone,Silver
Thunder Drakes,Alex Shadow,Bronze
Thunder Drakes,Jamie Frost,Diamond
Thunder Drakes,Morgan Reign,Platinum
Thunder Drakes,Morgan Frost,Diamond
Thunder Drakes,Riley Wolf,Iron
Frost Reapers,Taylor Ryder,Diamond
Frost Reapers,Taylor Storm,Bronze
Frost Reapers,Jordan Shadow,Diamond
Frost Reapers,Dakota Stone,Silver
Frost Reapers,Riley Frost,Gold
Venom Syndicate,Riley Knight,Bronze
Venom Syndicate,Taylor Reign,Iron
Venom Syndicate,Peyton Blaze,Platinum
Venom Syndicate,Dakota Reign,Iron
Venom Syndicate,Casey Reign,Diamond
Obsidian Blades,Dakota Reign,Diamond
Obsidian Blades,Peyton Stone,Silver
Obsidian Blades,Taylor Blaze,Gold
Obsidian Blades,Jordan Stone,Diamond
Obsidian Blades,Jamie Vega,Iron
Solar Strikers,Taylor Shadow,Gold
Solar Strikers,Casey Stone,Silver
Solar Strikers,Jordan Reign,Diamond
Solar Strikers,Jamie Vega,Diamond
Solar Strikers,Morgan Knight,Silver
Wild Barrage,Dakota Frost,Bronze
Wild Barrage,Alex Shadow,Gold
Wild Barrage,Jordan Vega,Iron
Wild Barrage,Jordan Wolf,Silver
Wild Barrage,Jamie Stone,Iron
Dark Mirage,Riley Storm,Diamond
Dark Mirage,Taylor Vega,Diamond
Dark Mirage,Morgan Knight,Platinum
Dark Mirage,Alex Vega,Iron
Dark Mirage,Peyton Wolf,Iron
Steel Tempest,Morgan Storm,Bronze
Steel Tempest,Dakota Frost,Silver
Steel Tempest,Skyler Vega,Platinum
Steel Tempest,Jordan Storm,Iron
Steel Tempest,Taylor Reign,Silver
Radiant Eclipse,Morgan Frost,Gold
Radiant Eclipse,Peyton Stone,Gold
Radiant Eclipse,Riley Vega,Bronze
Radiant Eclipse,Taylor Storm,Gold
Radiant Eclipse,Alex Wolf,Gold
Chaos Legion,Casey Blaze,Platinum
Chaos Legion,Jamie Knight,Platinum
Chaos Legion,Casey Storm,Diamond
Chaos Legion,Jordan Stone,Diamond
Chaos Legion,Riley Stone,Iron
Lunar Vanguard,Jamie Blaze,Platinum
Lunar Vanguard,Skyler Reign,Silver
Lunar Vanguard,Peyton Ryder,Silver
Lunar Vanguard,Alex Stone,Platinum
Lunar Vanguard,Jordan Wolf,Gold
