Team,Player,Rank
Storm Vipers,Dakota Knight,Iron
Storm Vipers,Morgan Shadow,Gold
Storm Vipers,Morgan Reign,Platinum
Storm Vipers,Jamie Storm,Diamond
Storm Vipers,Jordan Storm,Silver
Iron Wolves,Taylor Reign,Silver
Iron Wolves,Taylor Shadow,Diamond
Iron Wolves,Alex Knight,Diamond
Iron Wolves,Riley Frost,Platinum
Iron Wolves,Skyler Knight,Bronze
Crimson Knights,Dakota Shadow,Platinum
Crimson Knights,Peyton Wolf,Silver
Crimson Knights,Morgan Reign,Bronze
Crimson Knights,Peyton Blaze,Platinum
Crimson Knights,Morgan Ryder,Platinum
Shadow Hawks,Taylor Ryder,Diamond
Shadow Hawks,Dakota Blaze,Bronze
Shadow Hawks,Riley Knight,Iron
Shadow Hawks,Casey Reign,Iron
Shadow Hawks,Skyler Knight,Silver
Phantom Fury,Morgan Vega,Platinum
Phantom Fury,Morgan Frost,Gold
Phantom Fury,Dakota Frost,Silver
Phantom Fury,Taylor Reign,Gold
Phantom Fury,Skyler Blaze,Platinum
Blazing Phoenix,Taylor Storm,Platinum
Blazing Phoenix,Jordan Storm,Silver
Blazing Phoenix,Jamie Ryder,Diamond
Blazing Phoenix,Morgan Storm,Silver
Blazing Phoenix,Alex Vega,Iron
Night Stalkers,Jordan Shadow,Bronze
Night Stalkers,Casey Knight,Iron
Night Stalkers,Skyler Ryder,Silver
Night Stalkers,Morgan Knight,Gold
Night Stalkers,Casey Frost,Platinum
Rogue Titans,Skyler Frost,Diamond
Rogue Titans,Alex Blaze,Bronze
Rogue Titans,Jamie Reign,Bronze
Rogue Titans,Morgan Stone,Gold
Rogue Titans,Morgan Vega,Iron
Silent Force,Casey Vega,Silver
Silent Force,Casey Storm,Bronze
Silent Force,Peyton Knight,Iron
Silent Force,Alex Knight,Gold
Silent Force,Alex Reign,Iron
Thunder Drakes,Jordan Blaze,Gold
Thunder Drakes,Skyler Blaze,Silver
Thunder Drakes,Jamie Stone,Silver
Thunder Drakes,Taylor Shadow,Diamond
Thunder Drakes,Morgan Knight,Platinum
Frost Reapers,Alex Shadow,Platinum
Frost Reapers,Morgan Knight,Iron
Frost Reapers,Casey Reign,Silver
Frost Reapers,Jordan Ryder,Gold
